,Kasturi Foundry Pvt. Ltd.(UNIT 1),,
,,,
,"T-6 Kagal-Hatkanangale Five Star MIDC , Kagal 416236.",,
,Tool Cost Report From :- 01/01/2024 To :-27/01/2024,,
,,,
,,,
,Component Name,Operation Name,Tool Discription
KFPLU1|PM|HMC|70,HOUSING FRONT 4656.401.158,1st OPERATION,
,,,R - GROOVE TOOL 60 X R0.12 X THK3.24 X OAL 100 X SD25 ZFWG
,,,R - MGTL 43320 UTI20T
,,,R - PS SC CENTER DRILL DIA 22.0X90°XOAL130
,,,R - PS SC DRILL DIA 10.25 X FL60 X OAL110 X SH10 TCH
,,,R - PS SC DRILL DIA 10XFL60XOAL100XSH10 T.C.
,,,R - PS SC DRILL DIA 11.5XFL110XOAL 160 T.C
,,,R - PS SC DRILL DIA 12.5 X FL 60 X OAL110 T.C DM
,,,R - PS SC DRILL DIA 12.5XFL80XOAL160XSHDIA14XT.C
,,,R - PS SC DRILL DIA 12XFL40XOAL110XT.C
,,,R - PS SC DRILL DIA 16.75 X FL 60 X OAL 105 T.C
,,,R - PS SC DRILL DIA 17.5XFL60XOAL105XSHDIA18XT.C
,,,R - PS SC DRILL DIA 18 X FL 50 X OAL100 X SH DIA 18 T.C
,,,R - PS SC DRILL DIA 18.5 X FL70 X OAL 110 T.C
,,,R - PS SC DRILL DIA 19.5XFL60XOAL105 T.C
,,,R - PS SC DRILL DIA 23 X FL 70 X OAL 120 TC ( DM )
,,,R - PS SC DRILL DIA 5.2 X FL40 X OAL100 TC 
,,,R - PS SC DRILL DIA 6  X 155 X 205 TCH
,,,R - PS SC DRILL DIA 6.8XFL60XOAL110XSH DIA 8 T.C.-A
,,,R - PS SC DRILL DIA 6XFL50XOAL100 T.C
,,,R - PS SC DRILL DIA 7 X 60 X 100 X SH TC
,,,R - PS SC DRILL DIA 8 X FL 70 X OAL 12O TC ( DM )
,,,R - PS SC DRILL DIA 8X155X205 T.C
,,,R - PS SC DRILL DIA 9.5XFL60XOAL110 T.C
,,,R - PS SC ENDMILL DIA 10XFL50XOAL150
,,,R - PS SC ENDMILL DIA 11.5XFL50X100XSH DIA 12
,,,R - PS SC ENDMILL DIA 15.5 X FL60 X OAL100 X SH DIA 16
,,,R - PS SC ENDMILL DIA 18XFL60XOAL110 -A
,,,R - PS SC ENDMILL DIA 5XFL30XOAL80
,,,R - PS SC ENDMILL DIA 8.50 X FL60 X OAL100 X SH DIA 9
,,,R - PS SC HOLEMILL DIA 12.05 X FL120 X OAL160 X SH DIA 12 T.C (+-0.010)
,,,R - PS SC HOLEMILL DIA 14.5X40X120
,,,R - PS SC HOLEMILL DIA 6.35±0.25 X FL 150 X OAL 200
,,,R - PS SC REAMER DIA 12.07 D9 X FL70 X OAL120 X SH DIA 12 T .C
